System,ROM Folder Name,Emulator (Click for Link),File Format,BIOS Files
Nintendo Game Boy,gb,[RetroArch Gambatte](https://docs.libretro.com/library/gambatte/),.7z   .gb   .dmg   .zip,Not Required
**Nintendo Game Boy Advance (Standalone)**,gba,**[mGBA (Standalone)](https://mgba.io/)**,.7z   .gba   .zip,Not Required
Nintendo Game Boy Advance,gba,[RetroArch mGBA](https://docs.libretro.com/library/mgba/),.7z   .gba   .zip,Not Required
**Nintendo Game Boy Color (Standalone)**,gbc,**[mGBA (Standalone)](https://mgba.io/)**,.7z   .gb   .gbc   .dmg   .zip,Not Required
Nintendo Game Boy Color,gbc,[RetroArch SameBoy](https://docs.libretro.com/library/sameboy/),.7z   .gb   .gbc   .dmg   .zip,Not Required
Nintendo Game Boy Color,gbc,[RetroArch Gambatte](https://docs.libretro.com/library/gambatte/),.7z   .gb   .gbc   .dmg   .zip,Not Required
**Nintendo GameCube (Standalone)**,`gc` or `gamecube`,**[Dolphin (Standalone)](https://dolphin-emu.org/)**,.ciso   .dol   .elf   .gcm   .gcz   .iso   .nkit   .iso   .rvz   .wad   .wia   .wbfs .m3u,**Optional:**<br/>[Gamecube BIOS](https://emudeck.github.io/emulators/steamos/dolphin/#how-to-set-up-gamecube-bios)<br/>`IPL.bin` in the correct region folder.
Nintendo NES / Famicom,`nes` or `famicom`,[RetroArch Mesen](https://docs.libretro.com/library/mesen/),.7z   .nes   .fds   .unf   .unif   .zip,FDS (Famicom Disk System) games require a BIOS:  `disksys.rom` in `Emulation/bios`
Nintendo NES / Famicom,`nes` or `famicom`,[RetroArch Nestopia](https://docs.libretro.com/library/nestopia_ue/),.7z   .nes   .fds   .unf   .unif   .zip,FDS (Famicom Disk System) games require a BIOS:  `disksys.rom` in `Emulation/bios`
Super Nintendo,`snes` or `snesna`,[RetroArch Snes9x](https://docs.libretro.com/library/snes9x/),.7z   .bs   .fig  .sfc   .smc   .swx   .zip,Not Required
Super Nintendo Widescreen,`sneshd`,[RetroArch bsnes hd beta](https://github.com/DerKoun/bsnes-hd),.7z   .bs   .fig   .sfc   .smc   .swx   .zip,Not Required
**Nintendo PrimeHack (Standalone)**,primehacks,**[PrimeHack (Metroid Prime) (Standalone)](https://forums.dolphin-emu.org/Thread-fork-primehack-fps-controls-and-more-for-metroid-prime)**,.ciso   .dol   .elf   .gcm   .gcz   .iso   .json   .nkit.iso   .rvz   .wad   .wia   .wbfs,Not Required
**Nintendo Switch (Standalone)**,switch,**[Ryujinx (Standalone)](https://ryujinx.org/)**,.kp   .nca   .nro   .nso   .nsp   .xci   .nsz,Place `prod.keys` in:  `Emulation/bios/ryujinx/keys`     Install firmware through Ryujinx GUI
**Nintendo Switch (Standalone)**,switch,**[Yuzu (Standalone)](https://yuzu-emu.org/)**,.kp   .nca   .nro   .nso   .nsp   .xci,Place `prod.keys` in: `Emulation/bios/yuzu/keys`     Place `Firmware` files in: `Emulation/bios/yuzu/firmware`
Nintendo Virtual Boy,virtualboy,[RetroArch Beetle VB](https://docs.libretro.com/library/beetle_vb/),.vb .vboy .bin .7z .zip,Not Required
**Nintendo Wii (Standalone)**,wii,**[Dolphin (Standalone)](https://dolphin-emu.org/)**,.ciso   .dol   .elf   .gcm   .gcz   .iso   .json   .nkit .iso   .rvz   .wad   .wia   .wbfs .m3u,Not Required
**Nintendo Wii U (Standalone) (Proton)**,"`wiiu/roms`:material-information-outline:{ title=""Place your games here, do not install your games through Cemu"" }",**[Cemu (Standalone) (Proton)](https://cemu.info/)**,.rpx   .wud   .wux   .elf  .wad  .wua,"Place `keys.txt` (for encrypted ROMs) in: `Emulation/roms/wiiu`     For more information,  read the [Setting up Cemu (Proton) Questionnaire](./emulators/steamos/cemu/cemu-proton.md#setting-up-cemu-questionnaire)"
**Nintendo Wii U (Standalone) (Native)**,"`wiiu/roms`:material-information-outline:{ title=""Place your games here,  do not install your games through Cemu"" }",**[Cemu (Standalone) (Native)](https://cemu.info/)**,.rpx   .wud   .wux   .elf  .wad  .wua,"Place `keys.txt` (for encrypted ROMs) in: `/home/deck/.local/share/Cemu/`     For more information,  read the [Setting up Cemu (Native) Questionnaire](./emulators/steamos/cemu/cemu-native.md#setting-up-cemu-questionnaire)
"**Nintendo Wii U (Standalone) (Windows)**,"wiiu:material-information-outline:{ title=""Place your games here,  do not install your games through Cemu"" }",**[Cemu (Standalone) (Windows)](https://cemu.info/)**,.rpx   .wud   .wux   .elf  .wad  .wua,"Place `keys.txt` (for encrypted ROMs) in:`%USERPROFILE%\\emudeck\\EmulationStation-DE\\Emulators\\cemu`   For more information, read the [Setting up Cemu (Windows) Questionnaire](./emulators/windows/cemu.md#setting-up-cemu-questionnaire)"
